code,10,40,50,60,1140,1160,1180,1280,1281,1300,1301,1302,1320,1560,1920,1940,2060,2220,2280,2403,2462,2522,2582,2583,2585,2705,2905
10,227,12,0,7,4,12,4,0,5,3,4,0,0,3,1,10,2,0,45,82,11,11,2,2,0,172,32
40,30,129,15,25,5,14,2,0,9,11,11,1,0,2,5,20,6,2,51,39,12,6,4,4,15,22,78
50,1,4,64,56,14,2,2,4,1,31,14,7,0,2,2,6,7,15,1,15,18,17,2,14,18,8,9
60,2,2,7,105,3,1,0,2,4,14,6,3,0,2,3,2,2,1,3,1,8,5,2,2,1,1,2
1140,9,9,8,21,165,7,22,9,3,18,37,5,3,1,3,10,10,30,12,48,50,17,0,10,7,6,18
1160,24,21,1,10,6,571,2,0,7,1,2,0,2,0,3,12,1,2,25,73,30,5,0,0,1,5,16
1180,2,2,2,6,17,2,22,6,5,1,4,0,1,0,1,4,0,4,6,14,4,4,0,0,3,3,13
1280,9,12,18,64,99,5,14,79,33,91,107,40,12,14,18,40,19,63,12,57,40,22,14,17,38,18,16
1281,8,16,2,17,24,12,4,28,40,5,20,16,2,3,13,53,9,18,12,53,17,8,1,7,6,21,10
1300,6,1,51,124,34,1,8,6,1,304,51,14,4,21,4,11,25,30,8,35,44,16,18,32,66,42,19
1301,3,1,6,10,9,0,0,3,2,3,59,4,0,7,6,3,6,16,1,0,3,3,7,2,12,4,2
1302,2,4,29,39,23,0,0,29,8,48,40,52,7,8,13,17,18,20,0,13,6,20,20,22,47,11,9
1320,6,1,20,17,41,2,2,16,11,28,76,18,37,39,30,28,24,45,2,24,14,63,21,31,46,28,2
1560,4,2,32,23,20,2,3,8,3,31,116,18,17,274,49,16,42,44,2,23,31,88,46,27,84,15,2
1920,4,1,6,14,11,1,2,13,0,4,63,3,9,26,484,19,32,20,8,38,9,41,11,7,21,8,4
1940,10,2,0,9,0,1,0,3,3,1,3,1,1,2,4,93,0,7,0,6,1,1,0,3,4,9,3
2060,8,3,16,46,39,3,4,21,6,31,78,20,17,44,81,33,176,32,8,62,38,53,29,18,68,27,24
2220,2,0,7,6,13,0,0,5,1,6,14,5,2,4,9,13,6,31,1,1,2,8,4,3,11,1,0
2280,84,40,0,5,2,21,2,1,2,1,4,0,0,0,1,15,1,2,440,135,21,8,3,1,0,71,42
2403,77,19,0,7,10,38,6,0,2,2,12,0,3,6,4,13,4,1,77,482,57,11,3,1,1,74,39
2462,4,14,4,12,12,8,2,0,1,4,7,0,0,1,0,1,2,0,7,71,126,1,1,1,2,4,18
2522,53,4,12,46,18,7,4,11,4,15,73,8,7,37,19,47,10,26,10,43,18,354,10,24,71,51,4
2582,5,2,15,21,10,1,0,1,2,24,22,4,5,82,16,13,38,20,5,15,8,35,102,25,61,9,2
2583,14,3,64,107,44,1,5,20,7,65,108,38,18,74,24,62,12,71,3,19,19,133,61,861,158,35,10
2585,4,0,33,39,18,0,1,5,1,74,13,11,4,15,10,11,17,20,0,4,3,23,28,29,122,15,1
2705,91,6,1,3,1,3,0,0,0,5,4,0,1,0,1,6,2,0,26,14,3,4,0,2,0,336,33
2905,9,9,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,6,5,2,1,0,0,0,13,91
