,precision,recall,f1-score,support
10,0.468,0.37261146496815284,0.4148936170212766,628.0
40,0.675392670157068,0.5180722891566265,0.5863636363636363,498.0
50,0.7292307692307692,0.7117117117117117,0.7203647416413373,333.0
60,0.9931972789115646,0.7604166666666666,0.8613569321533922,192.0
1140,0.6697388632872504,0.7744227353463587,0.7182866556836903,563.0
1160,0.7846153846153846,0.861038961038961,0.8210526315789475,770.0
1180,0.9038461538461539,0.28484848484848485,0.4331797235023042,165.0
1280,0.6145940390544707,0.5828460038986355,0.5982991495747875,1026.0
1281,0.6145454545454545,0.4132029339853301,0.49415204678362573,409.0
1300,0.7889273356401384,0.9156626506024096,0.8475836431226765,996.0
1301,0.9624060150375939,0.7664670658682635,0.8533333333333333,167.0
1302,0.8556149732620321,0.6504065040650406,0.7390300230946883,492.0
1320,0.773972602739726,0.6647058823529411,0.7151898734177214,680.0
1560,0.7407063197026023,0.8182751540041068,0.777560975609756,974.0
1920,0.8930602957906713,0.9257075471698113,0.9090909090909091,848.0
1940,0.9261744966442953,0.7582417582417582,0.8338368580060422,182.0
2060,0.7213883677298312,0.7736418511066399,0.7466019417475728,994.0
2220,0.9222222222222223,0.535483870967742,0.6775510204081633,155.0
2280,0.571875,0.7632950990615224,0.6538633318445736,959.0
2403,0.6545454545454545,0.7331189710610932,0.6916076845298281,933.0
2462,0.7386363636363636,0.7442748091603053,0.741444866920152,262.0
2522,0.8091247672253259,0.8795546558704453,0.8428709990300679,988.0
2582,0.7692307692307693,0.6525911708253359,0.7061266874350988,521.0
2583,0.9085086916742909,0.9807407407407407,0.9432438850629303,2025.0
2585,0.7799043062200957,0.6533066132264529,0.7110141766630317,499.0
2705,0.7727272727272727,0.625,0.6910569105691057,544.0
2905,0.9322033898305084,0.9166666666666666,0.9243697478991596,180.0
accuracy,0.7542248130483424,0.7542248130483424,0.7542248130483424,0.7542248130483424
macro avg,0.7768292317595301,0.7050486023189706,0.7279009630402891,16983.0
weighted avg,0.7564640429968146,0.7542248130483424,0.7489885655930463,16983.0
